state,name,area_2010_square_miles,area_2010_square_km
Alabama,Autauga,594.44,1539.5996
Alabama,Baldwin,1589.78,4117.5302
Alabama,Barbour,884.88,2291.8392
Alabama,Bibb,622.58,1612.4822
Alabama,Blount,644.78,1669.9802
Alabama,Bullock,622.81,1613.0779
Alabama,Butler,776.83,2011.9897
Alabama,Calhoun,605.87,1569.2033
Alabama,Chambers,596.53,1545.0127
Alabama,Cherokee,553.7,1434.083
Alabama,Chilton,692.85,1794.4815
Alabama,Choctaw,913.5,2365.965
Alabama,Clarke,1238.47,3207.6373
Alabama,Clay,603.96,1564.2564
Alabama,Cleburne,560.1,1450.659
Alabama,Coffee,678.97,1758.5323
Alabama,Colbert,592.62,1534.8858
Alabama,Conecuh,850.16,2201.9144
Alabama,Coosa,650.93,1685.9087
Alabama,Covington,1030.46,2668.8914
Alabama,Crenshaw,608.84,1576.8956
Alabama,Cullman,734.84,1903.2356
Alabama,Dale,561.15,1453.3785
Alabama,Dallas,978.7,2534.833
Alabama,DeKalb,777.09,2012.6631
Alabama,Elmore,618.49,1601.8891
Alabama,Escambia,945.08,2447.7572
Alabama,Etowah,534.99,1385.6241
Alabama,Fayette,627.66,1625.6394
Alabama,Franklin,633.82,1641.5938
Alabama,Geneva,574.41,1487.7219
Alabama,Greene,647.11,1676.0149
Alabama,Hale,643.94,1667.8046
Alabama,Henry,561.75,1454.9325
Alabama,Houston,579.82,1501.7338
Alabama,Jackson,1077.87,2791.6833
Alabama,Jefferson,1111.28,2878.2152
Alabama,Lamar,604.85,1566.5615
Alabama,Lauderdale,667.7,1729.343
Alabama,Lawrence,690.68,1788.8612
Alabama,Lee,607.54,1573.5286
Alabama,Limestone,559.94,1450.2446
Alabama,Lowndes,715.91,1854.2069
Alabama,Macon,608.89,1577.0251
Alabama,Madison,801.59,2076.1181
Alabama,Marengo,976.88,2530.1192
Alabama,Marion,742.29,1922.5311
Alabama,Marshall,565.84,1465.5256
Alabama,Mobile,1229.44,3184.2496
Alabama,Monroe,1025.68,2656.5112
Alabama,Montgomery,784.25,2031.2075
Alabama,Morgan,579.34,1500.4906
Alabama,Perry,719.66,1863.9194
Alabama,Pickens,881.41,2282.8519
Alabama,Pike,672.09,1740.7131
Alabama,Randolph,580.55,1503.6245
Alabama,Russell,641.14,1660.5526
Alabama,St. Clair,631.9,1636.621
Alabama,Shelby,784.93,2032.9687
Alabama,Sumter,903.89,2341.0751
Alabama,Talladega,736.78,1908.2602
Alabama,Tallapoosa,716.52,1855.7868
Alabama,Tuscaloosa,1321.76,3423.3584
Alabama,Walker,791.19,2049.1821
Alabama,Washington,1080.21,2797.7439
Alabama,Wilcox,888.5,2301.215
Alabama,Winston,612.98,1587.6182
Alaska,Aleutians East Borough,6981.94,18083.2246
Alaska,Aleutians West Census Area,4390.28,11370.8252
Alaska,Anchorage Municipality,1704.68,4415.1212
Alaska,Bethel Census Area,40570,105076.3
Alaska,Bristol Bay Borough,503.84,1304.9456
Alaska,Denali Borough,12751.41,33026.1519
Alaska,Dillingham Census Area,18568.78,48093.1402
Alaska,Fairbanks North Star Borough,7338.21,19005.9639
Alaska,Haines Borough,2318.6,6005.174
Alaska,Hoonah Angoon Census Area,7524.92,19489.5428
Alaska,Juneau City and Borough,2701.93,6997.9987
Alaska,Kenai Peninsula Borough,16075.33,41635.1047
Alaska,Ketchikan Gateway Borough,4858.41,12583.2819
Alaska,Kodiak Island Borough,6549.58,16963.4122
Alaska,Kusilvak Census Area,17081.43,44240.9037
Alaska,Lake and Peninsula Borough,23652.01,61258.7059
Alaska,Matanuska-Susitna Borough,24607.9,63734.461
Alaska,Nome Census Area,22961.76,59470.9584
Alaska,North Slope Borough,88695.41,229721.1119
Alaska,Northwest Arctic Borough,35572.58,92132.9822
Alaska,Petersburg Borough,3281.98,8500.3282
Alaska,Prince of Wales-Hyder Census Area,3922.87,10160.2333
Alaska,Sitka City and Borough,2870.34,7434.1806
Alaska,Skagway,452.33,1171.5347
Alaska,Southeast Fairbanks Census Area,24768.81,64151.2179
Alaska,Valdez-Cordova Census Area,34239.88,88681.2892
