id,sex,observed_on,quality_grade,url,image_url,description,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_county_name,place_state_name,scientific_name,common_name
310820,f,2013-06-23,research,http://www.inaturalist.org/observations/310820,http://static.inaturalist.org/photos/385778/medium.jpg,Mating Diana Fritillaries.  I get these every year,Whisper Wind Farm,35.818222,-81.850644,53,,,,53,,,FALSE,,,Burke,North Carolina,Speyeria diana,Diana Fritillary
325796,m,2013-07-04,research,http://www.inaturalist.org/observations/325796,http://static.inaturalist.org/photos/405581/medium.jpg,"A male Diana Frittilary butterfly feeding on Purple Coneflowers

The Diana Fritillary is the Arkansas State Butterfly, designated in 2007.

Photographed at Terre Noire Natural Area, Clark County, Arkansas","Terre Noire Natural Area, Clark County, Arkansas, United States",34.084694,-93.174795,,,,,,,,FALSE,,,Clark,Arkansas,Speyeria diana,Diana Fritillary
741026,m,2014-06-16,research,http://www.inaturalist.org/observations/741026,https://inaturalist-open-data.s3.amazonaws.com/photos/931478/medium.jpg,,"2–98 Hillsborough Ct, Sharpsburg, GA, US",33.374669,-84.613076,174,,,,174,,,FALSE,,,Coweta,Georgia,Speyeria diana,Diana Fritillary
906850,f,2014-09-24,research,http://www.inaturalist.org/observations/906850,https://inaturalist-open-data.s3.amazonaws.com/photos/1155503/medium.JPG,,"Big Shoals, Big South Fork National River and Recreation Area",36.641558,-84.53634,106,,,,106,,,FALSE,,,McCreary,Kentucky,Speyeria diana,Diana Fritillary
1648250,m,2015-06-19,research,http://www.inaturalist.org/observations/1648250,https://inaturalist-open-data.s3.amazonaws.com/photos/2021964/medium.jpg,,"Pisgah National Forest, Asheville, NC, US",35.495995,-82.609638,5,,,,5,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
1651875,f,2015-06-20,research,http://www.inaturalist.org/observations/1651875,https://inaturalist-open-data.s3.amazonaws.com/photos/2026498/medium.jpg,"This was the find of the day for us. John and Kendra Abbott and I were driving slowly along a forest road in the SE corner of Oklahoma in the Ouachita National Forest when we saw a large blue and black butterfly nectaring on some sunflowers a short way off the road. It was a huge butterfly and I thought at first it was a large female Tiger Swallowtail, but when we got the vehicle stopped we saw it was not a swallowtail and realized it was a female Diana Fritillary! We only had it in view a few moments before it took off back into the forest, but we obtained a few shots. I had seen a couple of males at a distance in Arkansas last year but was not able to take any shots, so this was the first time I've ever photographed the species. A very exciting record for us of this very local and often hard to find butterfly. I'll post 4 shots.","Forest Road 51000 near Bethel, Oklahoma",34.2061,-94.8479,100,,,,100,,,FALSE,,,McCurtain,Oklahoma,Speyeria diana,Diana Fritillary
1752090,m,2015-06-19,research,http://www.inaturalist.org/observations/1752090,http://static.inaturalist.org/photos/2126571/medium.jpg,"Orange and black, flapping wings.","Pisgah National Forest, Asheville, NC, US",35.496239,-82.609465,165,,,,165,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
1787697,f,2015-07-18,research,http://www.inaturalist.org/observations/1787697,http://static.inaturalist.org/photos/2164949/medium.JPG,,"Floyd, Virginia",36.809302,-80.349651,,,,,,,,FALSE,,,Patrick,Virginia,Speyeria diana,Diana Fritillary
1798016,m,2015-07-22,research,http://www.inaturalist.org/observations/1798016,http://static.inaturalist.org/photos/2178655/medium.JPG,,looking glass rock,35.287049,-82.774578,,,,,,,,FALSE,,,Transylvania,North Carolina,Speyeria diana,Diana Fritillary
1822064,m,2015-08-01,research,http://www.inaturalist.org/observations/1822064,https://inaturalist-open-data.s3.amazonaws.com/photos/2210376/medium.jpg,,"8131 Highway 54, Sharpsburg, GA, US",33.379917,-84.619951,152,,,,152,,,FALSE,,,Coweta,Georgia,Speyeria diana,Diana Fritillary
1910782,f,2015-09-01,research,http://www.inaturalist.org/observations/1910782,http://static.inaturalist.org/photos/2332922/medium.jpg,A beautiful female nectaring on Ironweed.,"Tennessee, US",35.641417,-83.689674,53,,,,53,,,FALSE,,,Blount,Tennessee,Speyeria diana,Diana Fritillary
2671123,m,2011-05-24,research,http://www.inaturalist.org/observations/2671123,https://inaturalist-open-data.s3.amazonaws.com/photos/3001663/medium.jpg,,"ARKANSAS:  Montgomery County, Ouachita National Forest, FR 406/476",34.463495,-93.447055,219,,,,219,,,FALSE,,,Montgomery,Arkansas,Speyeria diana,Diana Fritillary
2711542,m,2011-06-08,research,http://www.inaturalist.org/observations/2711542,https://inaturalist-open-data.s3.amazonaws.com/photos/3055477/medium.jpg,,"TENNESSEE:  Polk County, Chilhowee NF, Benton Falls trail",35.142554,-84.597314,65,,,,65,,,FALSE,,,Polk,Tennessee,Speyeria diana,Diana Fritillary
3379174,m,2014-06-28,research,http://www.inaturalist.org/observations/3379174,https://inaturalist-open-data.s3.amazonaws.com/photos/3903561/medium.jpg,See photo,"Oxley Nature Center, Tulsa County OK",36.225015,-95.902314,26,,,,26,,,FALSE,,,Tulsa,Oklahoma,Speyeria diana,Diana Fritillary
3829871,m,2006-07-09,research,http://www.inaturalist.org/observations/3829871,https://inaturalist-open-data.s3.amazonaws.com/photos/4479601/medium.jpg,Diana Fritillary,"Craig County, VA, USA",37.57552122,-80.05589783,15,,,,15,,,FALSE,,,Craig,Virginia,Speyeria diana,Diana Fritillary
3876436,m,2016-08-13,research,http://www.inaturalist.org/observations/3876436,https://inaturalist-open-data.s3.amazonaws.com/photos/4547246/medium.jpg,,"Chattahoochee National Forest, Morganton, GA, US",34.78489167,-84.22686167,,,,,,,,FALSE,,,Fannin,Georgia,Speyeria diana,Diana Fritillary
3880958,m,2008-09-02,research,http://www.inaturalist.org/observations/3880958,https://inaturalist-open-data.s3.amazonaws.com/photos/4552689/medium.jpeg,,"Sevier County, TN, USA",35.64390524,-83.50914001,2946,,,,2946,,,FALSE,,,Sevier,Tennessee,Speyeria diana,Diana Fritillary
3904921,m,2016-08-17,research,http://www.inaturalist.org/observations/3904921,https://inaturalist-open-data.s3.amazonaws.com/photos/4604237/medium.jpg,,"North Carolina, US",35.44131388,-82.64168025,39897,,,,39897,obscured,,TRUE,,,Henderson,North Carolina,Speyeria diana,Diana Fritillary
4026774,f,2016-06-27,research,http://www.inaturalist.org/observations/4026774,https://inaturalist-open-data.s3.amazonaws.com/photos/4759535/medium.jpeg,,"Buncombe County, NC, USA",35.485215,-82.62558333,,,,,,,,FALSE,,,Buncombe,North Carolina,Speyeria diana,Diana Fritillary
4620030,m,2008-06-15,research,http://www.inaturalist.org/observations/4620030,http://static.inaturalist.org/photos/5590326/medium.jpg,,"Sevier County, TN, USA",35.70581951,-83.48098743,3771,,,,3771,,,FALSE,,,Sevier,Tennessee,Speyeria diana,Diana Fritillary
4925845,m,2013-06-25,research,https://www.inaturalist.org/observations/4925845,https://inaturalist-open-data.s3.amazonaws.com/photos/6002148/medium.jpeg,Terrible quality old photos I found. Seen somewhere in the Great Smoky Mountains National Park.,"Great Smoky Mountains National Park, Tennessee",35.611764,-83.489545,,,,,,,,FALSE,,,Sevier,Tennessee,Speyeria diana,Diana Fritillary
4939356,m,2003-06-28,research,https://www.inaturalist.org/observations/4939356,https://inaturalist-open-data.s3.amazonaws.com/photos/6022536/medium.jpg,male,"Lenoir, NC, USA",35.92327643,-81.55896377,122,,,,122,,,FALSE,,,Caldwell,North Carolina,Speyeria diana,Diana Fritillary
5469287,m,2013-06-19,research,https://www.inaturalist.org/observations/5469287,https://inaturalist-open-data.s3.amazonaws.com/photos/6735399/medium.jpeg,,"Murray County, GA, USA",34.8854579,-84.65021208,4,,,,4,,,FALSE,,,Murray,Georgia,Speyeria diana,Diana Fritillary
