Record.Number,Scientific.Name,sex,Specimen.Type,Status,Region(s),Lat/Long,Longitude,Precision
405001,Speyeria diana,NA,Sighting,Resident,Johnson CountyArkansasUnited States,35.757526,-93.526154,point record
412199,Speyeria diana,NA,Photograph,Unknown,United StatesTennesseeCumberland County,36.01693,-85.176964,point record
431671,Speyeria diana,F,Photograph,Unknown,United StatesTennesseeCannon County,35.706093,-86.09539,point record
433435,Speyeria diana,F,Photograph,Resident,Saline CountyArkansasUnited States,34.527725,-92.407677,point record
433452,Speyeria diana,M,Photograph,Resident,Saline CountyArkansasUnited States,34.527725,-92.407677,point record
457316,Speyeria diana,F,Photograph,Resident,Pawnee CountyOklahomaUnited States,36.216999,-96.262421,point record
463227,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.779999,-85.559998,point record
465349,Speyeria diana,F,Sighting,Resident,Benton CountyArkansasUnited States,36.474899,-94.279999,point record
465350,Speyeria diana,NA,Photograph,Resident,Hot Spring CountyArkansasUnited States,34.450375,-92.841141,point record
497119,Speyeria diana,F,Photograph,Unknown,Logan CountyArkansasUnited States,,,point record
497120,Speyeria diana,M,Photograph,Unknown,United States,,,point record
498323,Speyeria diana,F,Photograph,Unknown,Logan CountyArkansasUnited States,,,point record
498324,Speyeria diana,M,Photograph,Unknown,Logan CountyArkansasUnited States,,,point record
498347,Speyeria diana,F,Photograph,Unknown,Logan CountyArkansasUnited States,,,point record
535458,Speyeria diana,M,Photograph,Resident,Hempstead CountyArkansasUnited States,33.80101958,-93.79379153,point record
535692,Speyeria diana,M,Photograph,Resident,Okmulgee CountyOklahomaUnited States,35.5217845,-95.9661605,point record
537568,Speyeria diana,M,Photograph,Resident,Oconee CountySouth CarolinaUnited States,34.87174286,-83.17298412,point record
537640,Speyeria diana,F,Photograph,Resident,Okmulgee CountyOklahomaUnited States,35.523642,-95.9661579,point record
538094,Speyeria diana,M,Photograph,Resident,Sequatchie CountyTennesseeUnited States,35.43466786,-85.53956151,point record
539374,Speyeria diana,M,Photograph,Resident,Macon CountyNorth CarolinaUnited States,35.08957428,-83.46146107,point record
545189,Speyeria diana,M,Photograph,Resident,York CountySouth CarolinaUnited States,34.8537842,-81.27788544,point record
545935,Speyeria diana,M,Photograph,Resident,Banks CountyGeorgiaUnited States,34.381682,-83.6058797,point record
593636,Speyeria diana,M,Photograph,Resident,Henderson CountyNorth CarolinaUnited States,35.42588206,-82.65280724,point record
613598,Speyeria diana,F,Photograph,Resident,Bledsoe CountyTennesseeUnited States,35.6056231,-85.1888498,point record
614534,Speyeria diana,F,Photograph,Resident,Greene CountyTennesseeUnited States,36.1631574,-82.8309861,point record
615306,Speyeria diana,F,Photograph,Resident,United StatesNorth CarolinaHenderson County,35.3580112,-82.65544653,point record
,,,,,,,,
691128,Speyeria diana,F,Photograph,Resident,Sevier CountyTennesseeUnited States,35.6818406,-83.65299225,point record
691387,Speyeria diana,M,Photograph,Resident,Marion CountyTennesseeUnited States,35.04714352,-85.39604187,point record
714401,Speyeria diana,F,Photograph,Resident,United StatesGeorgiaCoweta County,33.49356958,-84.83368777,point record
714402,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaCoweta County,33.493583,-84.83365022,point record
714940,Speyeria diana,M,Photograph,Resident,United StatesTennesseeMarion County,35.07102232,-85.368855,point record
716068,Speyeria diana,M,Photograph,Resident,United StatesGeorgiaFannin County,34.84318103,-84.35257941,point record
716080,Speyeria diana,F,Photograph,Resident,United StatesGeorgiaFannin County,34.84318323,-84.35257941,point record
718390,Speyeria diana,M,Photograph,Resident,United StatesTennesseeSequatchie County,35.43498256,-85.5397895,point record
722296,Speyeria diana,F,Photograph,Resident,United StatesTennesseeWashington County,36.2942722,-82.4734787,point record
723691,Speyeria diana,F,Photograph,Resident,United StatesTennesseeCarter County,36.45984604,-82.08542347,point record
727486,Speyeria diana,M,Photograph,Resident,United StatesArkansasSebastian County,35.33539823,-94.29746747,point record
741458,Speyeria diana,M,Photograph,Resident,United StatesUnion CountyGeorgia,34.78436005,-84.02157068,point record
741460,Speyeria diana,F,Photograph,Resident,United StatesUnion CountyGeorgia,34.7746138,-84.08128738,point record
744084,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.34628545,-94.29608345,point record
744393,Speyeria diana,M,Photograph,Resident,United StatesArkansasSebastian County,35.34614543,-94.2956543,point record
748725,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record
748908,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.83,-85.58,point record
758649,Speyeria diana,NA,Photograph,Resident,United StatesArkansasPope County,35.45390585,-93.09156775,point record
764962,Speyeria diana,M,Photograph,Resident,United StatesTennesseeJohnson County,36.55578332,-81.89583421,point record
770919,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record
770977,Speyeria diana,NA,Sighting,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record
771003,Speyeria diana,NA,Sighting,Resident,Clay CountyAlabamaUnited States,33.46,-85.88,point record
771116,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record
771139,Speyeria diana,NA,Sighting,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record
771375,Speyeria diana,NA,Photograph,Resident,Clay CountyAlabamaUnited States,33.37,-85.84,point record
771408,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.78,-85.56,point record
771434,Speyeria diana,NA,Photograph,Resident,Cleburne CountyAlabamaUnited States,33.7,-85.6,point record
774118,Speyeria diana,M,Photograph,Resident,United StatesOklahomaCreek County,35.934289,-96.404557,point record
854173,Speyeria diana,M,Photograph,Resident,United StatesKentuckyLetcher County,37.19746714,-82.71263123,point record
902780,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.32873979,-94.2874204,point record
903273,Speyeria diana,M,Photograph,Resident,United StatesArkansas,34.5037004,-93.0551795,point record
903284,Speyeria diana,M,Photograph,Resident,United StatesArkansasSaline County,34.63522282,-92.61476487,point record
907758,Speyeria diana,M,Photograph,Resident,Washington CountyUnited StatesVirginia,36.642391,-81.912011,point record
908449,Speyeria diana,M,Photograph,Resident,United StatesKentuckyBell County,36.66726145,-83.576729,point record
910656,Speyeria diana,M,Photograph,Resident,United StatesTennesseeDeKalb County,35.91015146,-85.80571175,point record
928420,Speyeria diana,F,Photograph,Resident,United StatesArkansasSebastian County,35.32450954,-94.2932725,point record
929029,Speyeria diana,F,Photograph,Resident,United StatesTennesseeRoane County,35.858096,-84.7211236,point record
929406,Speyeria diana,F,Photograph,Resident,United StatesTennesseeVan Buren County,35.66274442,-85.35938144,point record
978103,Speyeria diana,M,Photograph,Resident,United StatesTennesseeMorgan County,36.10788117,-84.45534917,point record
