speyeria_diana
Record.Number,Scientific.Name,Sex,Observation.Date,Verified.Date,Specimen.Type,Organism.Type,Status,Region(s),Lat/Long,Longitude,Precision,Location.Notes,Observation.Notes,Submitter,Data.Source,Partner.Project,Updated.Date
405001,Speyeria diana,NA,07/17/1997,10/16/2006,Sighting,butterfly,Resident,Johnson CountyArkansasUnited States,35.757526,-93.526154,point record,Ozark Highlands Trail in Hurricane Creek Wilderness, Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),P. Kilgore,,08/31/2010 13:01:47
412199,Speyeria diana,NA,06/19/2007,07/18/2007,Photograph,butterfly,Unknown,United StatesTennesseeCumberland County,36.01693,-85.176964,point record,"Hidden Drive, near Mayland", Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Joseph E. Mast,,04/15/2011 16:00:21
431671,Speyeria diana,F,08/24/2008,09/05/2008,Photograph,butterfly,Unknown,United StatesTennesseeCannon County,35.706093,-86.09539,point record,Hollow Springs Rd., Female. Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Stephen J. Stedman,,04/15/2011 15:49:05
433435,Speyeria diana,F,09/03/2006,10/03/2008,Photograph,butterfly,Resident,Saline CountyArkansasUnited States,34.527725,-92.407677,point record,25000 S. Sardis Road in Bauxite, both sexes,legacy.reporter (53),John Sutton,,08/31/2010 17:34:02
433452,Speyeria diana,M,06/15/2008,10/03/2008,Photograph,butterfly,Resident,Saline CountyArkansasUnited States,34.527725,-92.407677,point record,25000 S. Sardis Road in Bauxite, male,legacy.reporter (53),John Sutton,,08/31/2010 17:34:12
457316,Speyeria diana,F,06/20/2009,07/06/2009,Photograph,butterfly,Resident,Pawnee CountyOklahomaUnited States,36.216999,-96.262421,point record,Keystone Lake," female, extremly worn",legacy.reporter (53),Paul W Ribitzki,,08/07/2013 10:01:41
463227,Speyeria diana,NA,07/19/2009,08/18/2009,Photograph,butterfly,Resident,Cleburne CountyAlabamaUnited States,33.779999,-85.559998,point record,Coleman Lake,2,vitaly charny (11),Vitaly Charny,,09/01/2010 13:20:12
465349,Speyeria diana,F,06/21/2009,09/18/2009,Sighting,butterfly,Resident,Benton CountyArkansasUnited States,36.474899,-94.279999,point record,"30 Chapel Lane, Bella Vista", female; use of my book and an extensive verification conversation Geocoded Accuracy: ROOFTOP,legacy.reporter (53),Lou Jasper,,09/01/2010 13:41:21
465350,Speyeria diana,NA,06/14/2009,09/18/2009,Photograph,butterfly,Resident,Hot Spring CountyArkansasUnited States,34.450375,-92.841141,point record,"Magnet Cove, near Malvern", Geocoded Accuracy: GEOMETRIC_CENTER,legacy.reporter (53),Jim Rosen and Bruce Yancey,,09/01/2010 13:41:21
497119,Speyeria diana,F,unknown,09/06/2010,Photograph,butterfly,Unknown,Logan CountyArkansasUnited States,,,point record,,,BAMONA (3),,,10/03/2011 09:31:42
